Year,Genre encoded,Votes encoded,Director encoded,Actor 1 encoded,Actor 2 encoded,Actor 3 encoded,Predicted_Rating
2015,5.4,7.1,6.4,5.5,6.2,5.7,6.9940157
1989,5.7,5.8,5.8,5.6,5.8,5.8,5.766688
2000,5.9,3.7,4.9,5.2,5.8,5.8,4.120275
1970,5.9,8.0,7.1,6.8,6.8,6.8,7.9405217
2003,5.7,6.1,5.7,5.1,5.6,6.9,5.923771
2013,5.6,6.9,5.5,6.3,6.1,6.9,6.8461776
2007,5.9,5.7,6.2,6.2,6.2,5.5,6.0055513
1965,5.6,5.8,5.8,5.8,5.9,4.8,5.437491
2008,6.0,5.8,5.8,5.8,5.4,5.8,5.8292665
2014,6.0,5.4,5.6,4.9,4.9,4.9,4.838405
1976,6.2,6.1,6.1,7.0,5.5,6.6,6.816561
1999,5.7,5.8,5.8,5.8,5.8,5.8,5.8212175
2011,5.9,5.2,6.0,6.1,5.7,6.2,5.847549
2019,6.0,5.8,5.8,5.8,5.8,5.8,5.7960687
1967,5.8,5.4,6.2,5.4,6.0,6.6,5.810608
1984,6.0,6.2,5.2,6.7,6.7,7.2,7.154944
1970,6.4,5.1,6.0,6.4,6.6,5.9,6.6005836
1980,6.0,5.7,6.1,5.8,6.0,5.9,6.018047
2019,5.6,5.8,5.8,5.8,5.8,5.8,5.796714
1965,6.2,5.8,5.9,5.8,5.8,6.2,5.8113084
2017,5.7,5.4,6.5,6.5,6.2,6.8,6.5571556
1982,6.0,5.8,5.9,5.3,5.6,6.0,5.7455473
1990,5.5,5.8,5.8,5.7,5.2,5.5,5.5580964
1980,6.2,5.9,6.6,5.6,5.5,5.6,6.0222116
2009,5.7,6.0,2.8,2.8,6.3,4.2,2.812426
1931,6.0,5.8,5.8,5.9,5.8,5.8,5.7946625
1959,5.6,6.1,6.0,6.8,6.8,6.1,6.872911
1946,6.0,5.8,5.8,5.8,5.8,5.8,5.789547
1980,6.7,5.8,5.8,6.0,6.1,6.2,6.0601873
1979,5.8,5.7,4.9,6.1,5.7,6.5,5.76834
2013,5.9,6.0,6.3,6.3,7.0,5.7,6.490353
1992,5.6,6.0,5.0,3.4,5.1,4.4,3.6346164
1983,5.9,5.7,5.5,5.3,5.9,5.8,5.4305797
1974,5.6,5.8,6.4,6.4,6.4,6.4,6.428211
1986,6.0,5.7,6.6,5.6,6.3,4.8,5.794407
2019,6.0,5.8,5.8,5.8,5.8,5.8,5.7960687
1993,5.4,5.4,5.2,5.3,5.3,5.7,4.7199697
2020,5.6,6.3,6.8,5.9,6.8,6.8,6.786411
2006,5.7,5.7,5.5,5.3,3.2,5.7,4.319015
1944,6.2,6.0,6.0,7.2,6.1,6.7,6.9906373
1985,5.9,5.9,5.8,6.6,5.5,6.8,6.3842545
2019,6.0,5.8,5.8,5.8,5.8,5.8,5.7960687
1958,5.7,5.8,5.9,6.0,5.9,5.9,5.7782345
2003,5.7,5.8,5.8,5.8,5.4,4.7,5.706104
2019,6.0,5.8,6.0,6.0,5.9,5.9,5.7976756
1956,5.6,5.8,5.8,5.6,5.8,5.8,5.718363
2005,6.0,5.8,5.8,5.8,6.6,5.8,5.8280907
2019,6.7,8.0,6.8,7.3,8.0,6.9,7.9065013
2016,6.0,5.8,5.8,5.8,6.7,5.8,5.85241
1936,6.0,5.8,5.8,6.0,5.9,5.9,5.7884727
1986,5.3,5.8,5.3,5.3,5.8,5.1,5.4459057
2021,5.6,5.8,5.8,6.2,5.5,6.2,5.885229
2014,5.9,5.7,5.7,3.9,3.9,3.9,3.83924
2005,5.6,5.8,6.2,5.7,5.7,5.7,5.775817
2021,6.0,5.8,6.4,6.0,5.9,5.9,5.856365
1968,6.1,5.8,5.9,6.0,5.9,5.9,5.775181
1995,5.7,5.7,5.4,3.5,5.0,4.9,3.6775699
1991,5.5,6.3,5.3,5.7,4.9,4.7,4.6486025
2021,6.0,5.8,5.6,5.0,5.3,5.3,5.5904045
2016,5.7,5.8,5.0,5.1,5.4,4.5,5.1158757
2014,5.0,5.4,2.7,2.6,2.7,2.7,2.730277
2003,5.7,5.8,5.8,5.8,5.8,5.8,5.828729
2018,5.7,6.7,8.3,8.3,5.4,6.2,7.919251
1985,5.6,5.9,6.3,5.3,5.9,5.6,5.7824464
1984,6.0,5.8,5.8,6.3,6.6,5.6,5.9725733
1965,6.0,5.7,7.1,6.1,6.0,5.9,6.5492516
2014,5.5,5.6,5.3,5.3,5.3,5.3,4.928137
2019,5.3,6.0,4.7,4.7,6.0,6.2,5.0137806
1985,5.6,5.8,5.4,6.0,5.7,5.4,5.780183
1974,5.9,5.8,5.8,5.8,5.9,5.9,5.8011913
1937,6.0,5.8,6.0,6.2,6.2,5.8,5.8579507
2020,5.3,5.8,5.8,5.8,5.9,5.9,5.8013234
1984,5.6,5.8,5.4,5.8,5.8,6.2,5.849242
2015,5.6,5.8,5.3,5.2,5.0,5.8,5.362553
1993,5.6,5.8,5.8,5.8,6.2,5.9,5.8205786
1962,5.6,5.8,5.8,5.8,5.8,5.7,5.7492228
1950,6.0,5.7,5.9,6.6,6.2,5.7,6.129319
2010,6.1,5.8,6.2,5.8,5.8,5.8,5.7834234
1957,6.0,5.8,5.9,6.0,6.4,6.4,5.9288554
1989,6.0,7.0,6.6,7.0,6.7,7.2,7.1378207
2005,6.0,5.8,5.8,5.8,5.8,5.8,5.8100934
1986,6.0,5.4,5.8,6.3,6.7,6.0,6.449827
2014,5.3,5.8,5.3,6.3,5.8,5.4,5.788016
2013,5.8,5.9,5.5,5.3,6.2,5.7,5.659376
2007,6.2,5.4,4.9,4.0,4.0,4.0,3.8445675
1992,5.7,5.7,5.2,4.6,5.7,4.7,4.8267574
1999,5.9,6.2,5.3,6.9,5.1,6.4,6.0192432
